id,barcode,recipient_name,address,city_district,package_type,size,dimensions_cm,weight_kg,fragile,priority,payment_method,cod_amount_eur,insurance_value_eur,special_instructions,order_date,status
524,KE00052453,Ondrej Csonka,"Poludníková 11/11, Košice - Sever",Sever,Knihy,XL,92x69x58,7.72,Nie,Overnight,Firemná faktura,,1939.76,Skladovať v chlade,2026-05-11,Čaká na doručenie
525,KE00052517,Veronika Tkáč,"Poludníková 31, Košice - Sever",Sever,Nábytok,M,26x22x17,3.82,Nie,Štandard,Platba vopred,,,,2026-05-11,Čaká na doručenie
526,KE00052629,Eva Baláž,"Barčianska 118, Košice - Barca",Barca,Potraviny,XS,9x9x4,0.39,Nie,Štandard,Platba vopred,,979.95,Skladovať v chlade,2026-05-16,Čaká na doručenie
527,KE00052710,Ladislav Kiss,"Čermeľská 121, Košice - Kavečany",Kavečany,Oblečenie,L,57x46x34,8.51,Nie,Štandard,Platba vopred,,,Krehké - opatrne,2026-05-16,Čaká na doručenie
528,KE00052873,Martin Šimko,"Ovocná 29, Košice - Barca",Barca,Balík,L,48x38x29,5.64,Nie,Štandard,Firemná faktura,,,Skladovať v chlade,2026-05-17,Čaká na doručenie
529,KE00052964,Zuzana Šimko,"Rovníková 103/48, Košice - Nad jazerom",Nad jazerom,Krehký tovar,XS,11x11x5,0.42,Áno,Štandard,Platba vopred,,,,2026-05-18,Čaká na doručenie
530,KE00053035,Martina Nagy,"Štefánikova 123, Košice - Staré Mesto",Staré Mesto,Náhradný diel,L,44x35x26,3.13,Nie,Štandard,Dobierka,135.45,,,2026-05-15,Čaká na doručenie
531,KE00053158,Barbora Fábián,"Perešská 129/13, Košice - Pereš",Pereš,Potraviny,XXL,103x68x60,14.82,Nie,Štandard,Firemná faktura,,1730.06,,2026-05-18,Čaká na doručenie
532,KE00053215,Stanislav Fekete,"Rybná 79/15, Košice - Lorinčík",Lorinčík,Balík,L,49x39x29,8.14,Nie,Štandard,Dobierka,178.76,104.64,Môže zanechať u suseda,2026-05-12,Čaká na doručenie
533,KE00053385,Veronika Fedor,"Hlavná 83, Košice - Staré Mesto",Staré Mesto,Liek,XL,67x50x42,7.99,Nie,Štandard,Dobierka,11.76,1621.97,Krehké - opatrne,2026-05-16,Čaká na doručenie
534,KE00053422,Radoslav Takáč,"Pustovnícka 96, Košice - Vyšné Opátske",Vyšné Opátske,Krehký tovar,XL,76x57x47,26.95,Áno,Expres,Platba vopred,,,Môže zanechať u suseda,2026-05-15,Čaká na doručenie
535,KE00053525,Veronika Csonka,"Galvaniho 88, Košice - Sídlisko Ťahanovce",Sídlisko Ťahanovce,Krehký tovar,S,20x15x10,0.48,Áno,Štandard,Firemná faktura,,,Krehké - opatrne,2026-05-13,Čaká na doručenie
536,KE00053673,Lenka Horváth,"Lorinčícka 124, Košice - Lorinčík",Lorinčík,Krehký tovar,S,20x15x10,1.45,Áno,Štandard,Platba vopred,,,,2026-05-15,Čaká na doručenie
537,KE00053774,Patrik Lukács,"Brestová 20, Košice - Krásna",Krásna,Nábytok,L,51x40x30,6.46,Nie,Štandard,Dobierka,112.81,,,2026-05-18,Čaká na doručenie
538,KE00053816,Jakub Fedor,"Mníšska 78/19, Košice - Vyšné Opátske",Vyšné Opátske,Náhradný diel,XL,67x50x42,9.05,Áno,Štandard,Dobierka,442.38,,Volať vopred,2026-05-16,Čaká na doručenie
539,KE00053990,Boris Balogh,"Zábrezová 137, Košice - Sever",Sever,Dokument,XXL,125x83x72,24.76,Nie,Ekonomický,Dobierka,71.14,,Krehké - opatrne,2026-05-14,Čaká na doručenie
540,KE00054051,Radoslav Novák,"Biela 92, Košice - Staré Mesto",Staré Mesto,Nábytok,M,35x29x23,2.92,Nie,Štandard,Firemná faktura,,,,2026-05-15,Čaká na doručenie
541,KE00054134,Monika Hudák,"Čermeľská 149/49, Košice - Kavečany",Kavečany,Knihy,L,44x35x26,11.17,Nie,Štandard,Firemná faktura,,,,2026-05-16,Čaká na doručenie
542,KE00054227,Dávid Novák,"Nová 73, Košice - Pereš",Pereš,Krehký tovar,L,53x42x32,3.63,Áno,Štandard,Dobierka,455.02,,Nevystavovať vlhku,2026-05-12,Čaká na doručenie
543,KE00054323,Peter Lukáč,"Dominikánske námestie 26, Košice - Staré Mesto",Staré Mesto,Balík,XS,11x11x5,0.36,Nie,Štandard,Dobierka,469.61,,,2026-05-18,Čaká na doručenie
544,KE00054423,Veronika Csonka,"Hornohorská 22, Košice - Krásna",Krásna,Oblečenie,XL,92x69x57,25.02,Nie,Štandard,Dobierka,347.56,,Nezalomovať,2026-05-17,Čaká na doručenie
545,KE00054524,Miroslav Kováč,"Hornohorská 27/27, Košice - Krásna",Krásna,Krehký tovar,S,16x12x8,0.97,Áno,Štandard,Dobierka,461.24,,,2026-05-12,Čaká na doručenie
546,KE00054695,Tibor Balogh,"Nová 29, Košice - Pereš",Pereš,Dokument,XS,10x10x5,0.15,Nie,Overnight,Dobierka,267.59,,,2026-05-16,Čaká na doručenie
547,KE00054771,Marek Fedor,"Viničná 74, Košice - Košická Nová Ves",Košická Nová Ves,Dokument,L,53x42x31,14.06,Nie,Expres,Platba vopred,,1445.47,Doručiť osobne,2026-05-13,Čaká na doručenie
548,KE00054862,Matúš Fedor,"Janigova 148, Košice - Sídlisko Ťahanovce",Sídlisko Ťahanovce,Krehký tovar,S,16x12x8,1.99,Áno,Expres,Firemná faktura,,,Horná strana nahor,2026-05-12,Čaká na doručenie
549,KE00054936,Alžbeta Sipos,"Sácka 63, Košice - Šaca",Šaca,Elektronika,XL,81x60x50,17.38,Áno,Štandard,Firemná faktura,,729.8,,2026-05-15,Čaká na doručenie
550,KE00055027,Vladimír Lukáč,"Mäsiarska 143, Košice - Staré Mesto",Staré Mesto,Krehký tovar,XS,11x11x5,0.24,Áno,Štandard,Dobierka,427.39,456.93,Môže zanechať u suseda,2026-05-12,Čaká na doručenie
551,KE00055163,Petra Kiss,"Arm. gen. Svobodu 97/45, Košice - Dargovských hrdinov",Dargovských hrdinov,Dokument,XS,10x10x5,0.37,Nie,Štandard,Dobierka,77.71,34.83,Nevystavovať vlhku,2026-05-16,Čaká na doručenie
552,KE00055274,Ivana Szűcs,"Zupkova 121/48, Košice - Nad jazerom",Nad jazerom,Liek,M,29x24x19,3.75,Nie,Expres,Dobierka,82.16,,,2026-05-18,Čaká na doručenie
553,KE00055337,Anna Máté,"Lomonosovova 102/44, Košice - Západ",Západ,Náhradný diel,XXL,135x90x79,46.77,Nie,Štandard,Firemná faktura,,1902.64,,2026-05-17,Čaká na doručenie
554,KE00055492,Richard Bogdán,"Hradná 15, Košice - Poľov",Poľov,Liek,XL,83x62x52,5.08,Nie,Štandard,Firemná faktura,,,Nezalomovať,2026-05-16,Čaká na doručenie
555,KE00055534,Tomáš Kiss,"Údolná 70, Košice - Lorinčík",Lorinčík,Elektronika,XL,88x66x55,12.06,Áno,Štandard,Platba vopred,,1820.28,,2026-05-15,Čaká na doručenie
556,KE00055634,Lukáš Jakab,"Moldavská 9, Košice - Krásna",Krásna,Liek,XL,65x49x40,29.64,Nie,Štandard,Platba vopred,,802.29,,2026-05-13,Čaká na doručenie
557,KE00055714,Ondrej Baláž,"Továrenská 92/45, Košice - Šaca",Šaca,Dokument,M,28x24x19,3.84,Nie,Štandard,Dobierka,399.05,,,2026-05-11,Čaká na doručenie
558,KE00055853,Igor Nagy,"Bačíkova 39/6, Košice - Košická Nová Ves",Košická Nová Ves,Krehký tovar,XXL,107x71x62,18.63,Áno,Expres,Dobierka,482.02,,Horná strana nahor,2026-05-13,Čaká na doručenie
559,KE00055949,Jakub Rácz,"Záhradnícka 111, Košice - Košická Nová Ves",Košická Nová Ves,Nábytok,XXL,114x76x66,18.35,Nie,Expres,Firemná faktura,,1534.97,,2026-05-17,Čaká na doručenie
560,KE00056066,Mária Kováčik,"Krásnohorská 128, Košice - Krásna",Krásna,Knihy,M,25x21x17,1.76,Áno,Štandard,Firemná faktura,,,Horná strana nahor,2026-05-14,Čaká na doručenie
561,KE00056174,Katarína Tkáč,"Hronská 146, Košice - Nad jazerom",Nad jazerom,Krehký tovar,L,48x38x28,9.68,Áno,Štandard,Firemná faktura,,,Nevystavovať vlhku,2026-05-13,Čaká na doručenie
562,KE00056269,Michal Bogdán,"Záhradná 11/42, Košice - Myslava",Myslava,Krehký tovar,S,21x16x10,1.21,Áno,Overnight,Dobierka,83.31,782.56,,2026-05-12,Čaká na doručenie
563,KE00056399,Tereza Mészáros,"Meteorová 120, Košice - Sídlisko Ťahanovce",Sídlisko Ťahanovce,Potraviny,XS,8x8x4,0.39,Nie,Expres,Firemná faktura,,,,2026-05-13,Čaká na doručenie
564,KE00056412,Tereza Hudák,"Perešská 72, Košice - Pereš",Pereš,Nábytok,L,42x34x25,3.99,Nie,Štandard,Firemná faktura,,430.87,Horná strana nahor,2026-05-12,Čaká na doručenie
565,KE00056564,Miroslav Szabó,"Zálesná 65/6, Košice - Lorinčík",Lorinčík,Liek,M,28x24x19,1.84,Nie,Overnight,Firemná faktura,,1790.96,,2026-05-16,Čaká na doručenie
566,KE00056684,Andrea Olah,"Priemyselná 43, Košice - Šaca",Šaca,Potraviny,L,50x40x30,11.97,Nie,Štandard,Platba vopred,,,Nevystavovať vlhku,2026-05-15,Čaká na doručenie
567,KE00056722,Anna Hudák,"Rovníková 82, Košice - Nad jazerom",Nad jazerom,Potraviny,L,57x45x34,2.59,Nie,Štandard,Platba vopred,,,,2026-05-11,Čaká na doručenie
568,KE00056849,Tereza Rácz,"Gemerská 49, Košice - Sídlisko KVP",Sídlisko KVP,Elektronika,S,20x15x10,0.59,Áno,Ekonomický,Platba vopred,,610.87,,2026-05-13,Čaká na doručenie
569,KE00056979,Andrea Pintér,"Opátska 128/30, Košice - Vyšné Opátske",Vyšné Opátske,Náhradný diel,M,28x23x18,2.94,Nie,Ekonomický,Firemná faktura,,1193.83,Krehké - opatrne,2026-05-12,Čaká na doručenie
570,KE00057089,Ondrej Fodor,"Kamenná 73/45, Košice - Lorinčík",Lorinčík,Dokument,XXL,109x73x63,34.82,Nie,Ekonomický,Dobierka,326.56,,Nevystavovať vlhku,2026-05-12,Čaká na doručenie
571,KE00057162,Dušan Tkáč,"Krásnohorská 114/3, Košice - Krásna",Krásna,Náhradný diel,L,44x35x26,11.88,Nie,Štandard,Platba vopred,,,,2026-05-13,Čaká na doručenie
572,KE00057276,Tibor Fedor,"Poľovská 96/33, Košice - Poľov",Poľov,Potraviny,XXL,108x72x63,43.54,Áno,Expres,Platba vopred,,755.07,Nezalomovať,2026-05-18,Čaká na doručenie
573,KE00057376,Milan Máté,"Priemyselná 44/28, Košice - Šaca",Šaca,Balík,L,43x35x26,10.02,Nie,Overnight,Dobierka,319.96,,Skladovať v chlade,2026-05-16,Čaká na doručenie
574,KE00057490,Vladimír Lukács,"Uralská 60, Košice - Západ",Západ,Oblečenie,XS,10x10x5,0.41,Nie,Overnight,Platba vopred,,,Nezalomovať,2026-05-17,Čaká na doručenie
575,KE00057558,Kristína Farkas,"Ďumbierska 140/6, Košice - Nad jazerom",Nad jazerom,Liek,XS,10x10x5,0.15,Nie,Expres,Dobierka,328.0,1682.51,Volať vopred,2026-05-15,Čaká na doručenie
576,KE00057656,Miroslav Fábián,"Kavečianska 71, Košice - Kavečany",Kavečany,Dokument,XS,10x10x5,0.33,Nie,Štandard,Dobierka,75.21,993.55,Doručiť osobne,2026-05-14,Čaká na doručenie
577,KE00057732,Peter Pintér,"Leningradská 26, Košice - Juh",Juh,Elektronika,XS,9x9x4,0.35,Áno,Expres,Firemná faktura,,604.52,,2026-05-11,Čaká na doručenie
578,KE00057824,Natália Király,"Adlerova 88/31, Košice - Sídlisko KVP",Sídlisko KVP,Oblečenie,XL,64x48x40,17.09,Nie,Ekonomický,Dobierka,16.4,,Môže zanechať u suseda,2026-05-16,Čaká na doručenie
579,KE00057965,Lukáš Vincze,"Južná trieda 84, Košice - Juh",Juh,Liek,XXL,141x94x82,20.7,Áno,Štandard,Firemná faktura,,,,2026-05-11,Čaká na doručenie
580,KE00058064,Róbert Hegedűs,"Svätá 50, Košice - Vyšné Opátske",Vyšné Opátske,Nábytok,XXL,109x72x63,25.71,Nie,Expres,Dobierka,106.89,,Skladovať v chlade,2026-05-11,Čaká na doručenie
581,KE00058192,Róbert Jakab,"Lesná 28/28, Košice - Kavečany",Kavečany,Dokument,M,28x23x18,3.35,Nie,Štandard,Firemná faktura,,,Volať vopred,2026-05-12,Čaká na doručenie
582,KE00058252,Richard Molnár,"Mníšska 102, Košice - Vyšné Opátske",Vyšné Opátske,Dokument,L,55x44x33,6.01,Nie,Štandard,Dobierka,160.65,,Krehké - opatrne,2026-05-18,Čaká na doručenie
583,KE00058363,Alžbeta Szabó,"Minská 146/15, Košice - Juh",Juh,Elektronika,L,45x36x27,3.97,Áno,Štandard,Dobierka,305.91,,,2026-05-17,Čaká na doručenie
584,KE00058483,Michal Sipos,"Zálesná 82, Košice - Lorinčík",Lorinčík,Dokument,L,40x32x24,4.84,Nie,Štandard,Firemná faktura,,45.49,,2026-05-15,Čaká na doručenie
585,KE00058561,Monika Varga,"Orlia 119, Košice - Staré Mesto",Staré Mesto,Balík,XL,93x70x58,4.06,Áno,Štandard,Firemná faktura,,,Krehké - opatrne,2026-05-14,Čaká na doručenie
586,KE00058698,Michal Halász,"Galvaniho 81, Košice - Sídlisko Ťahanovce",Sídlisko Ťahanovce,Dokument,M,32x26x21,2.55,Nie,Overnight,Dobierka,115.89,652.49,Doručiť osobne,2026-05-18,Čaká na doručenie
587,KE00058758,Matúš Kiss,"Údolná 44, Košice - Lorinčík",Lorinčík,Balík,XL,95x71x59,28.22,Nie,Štandard,Dobierka,473.84,1229.37,Volať vopred,2026-05-17,Čaká na doručenie
588,KE00058845,Vladimír Molnár,"Čermeľská 36/8, Košice - Kavečany",Kavečany,Potraviny,S,22x16x11,1.8,Nie,Expres,Platba vopred,,,,2026-05-11,Čaká na doručenie
589,KE00058917,Andrej Tkáč,"Továrenská 58, Košice - Šaca",Šaca,Elektronika,XXL,99x66x58,32.34,Áno,Expres,Platba vopred,,,Nevystavovať vlhku,2026-05-17,Čaká na doručenie
590,KE00059026,Zuzana Blaho,"Južná trieda 56, Košice - Juh",Juh,Nábytok,L,42x33x25,3.92,Nie,Expres,Firemná faktura,,1013.98,,2026-05-11,Čaká na doručenie
591,KE00059124,Lenka Blaho,"Bernoláková 99/40, Košice - Sever",Sever,Krehký tovar,L,43x35x26,4.89,Áno,Expres,Platba vopred,,,Horná strana nahor,2026-05-16,Čaká na doručenie
592,KE00059252,Peter Olah,"Trieda SNP 118, Košice - Sever",Sever,Dokument,XXL,121x80x70,24.08,Áno,Ekonomický,Platba vopred,,,,2026-05-12,Čaká na doručenie
593,KE00059392,Michal Sándor,"Šrobárova 70, Košice - Sídlisko KVP",Sídlisko KVP,Oblečenie,L,54x43x32,6.92,Nie,Štandard,Dobierka,305.69,,Nevystavovať vlhku,2026-05-12,Čaká na doručenie
594,KE00059498,Martin Jakab,"Brnianska 57, Košice - Sever",Sever,Oblečenie,M,26x22x17,2.89,Nie,Štandard,Firemná faktura,,1649.9,Nevystavovať vlhku,2026-05-12,Čaká na doručenie
595,KE00059540,Juraj Balogh,"Záhradná 53, Košice - Kavečany",Kavečany,Balík,XXL,109x73x64,33.85,Nie,Štandard,Firemná faktura,,,,2026-05-14,Čaká na doručenie
596,KE00059610,Jana Mészáros,"Sibírska 18, Košice - Západ",Západ,Potraviny,S,23x17x11,1.4,Nie,Štandard,Dobierka,43.1,952.92,,2026-05-18,Čaká na doručenie
597,KE00059767,Peter Jakab,"Nová 121, Košice - Pereš",Pereš,Náhradný diel,XXL,143x95x83,43.41,Nie,Štandard,Platba vopred,,,,2026-05-14,Čaká na doručenie
598,KE00059891,Martina Oravec,"Stará 140, Košice - Pereš",Pereš,Oblečenie,M,29x24x19,4.22,Nie,Expres,Firemná faktura,,,Volať vopred,2026-05-17,Čaká na doručenie
599,KE00059996,Miroslav Balogh,"Rooseveltova 106/43, Košice - Staré Mesto",Staré Mesto,Potraviny,L,40x32x24,9.09,Nie,Štandard,Dobierka,477.63,,Volať vopred,2026-05-17,Čaká na doručenie
600,KE00060082,Ondrej Balogh,"Potočná 135, Košice - Krásna",Krásna,Oblečenie,M,28x23x19,2.38,Áno,Štandard,Firemná faktura,,,Skladovať v chlade,2026-05-17,Čaká na doručenie
601,KE00060137,Ondrej Hudák,"Lipová 29/32, Košice - Barca",Barca,Oblečenie,L,53x42x32,8.32,Nie,Expres,Firemná faktura,,913.18,,2026-05-17,Čaká na doručenie
602,KE00060228,Ladislav Kováč,"Viničná 32, Košice - Košická Nová Ves",Košická Nová Ves,Balík,L,47x37x28,12.68,Nie,Štandard,Dobierka,430.21,,Nevystavovať vlhku,2026-05-16,Čaká na doručenie
603,KE00060396,Stanislav Varga,"Leningradská 150/19, Košice - Juh",Juh,Potraviny,L,58x46x35,4.48,Nie,Štandard,Dobierka,134.32,1132.18,,2026-05-14,Čaká na doručenie
604,KE00060465,Pavel Šimko,"Robotnícka 36/13, Košice - Šaca",Šaca,Dokument,L,51x40x30,5.21,Nie,Štandard,Platba vopred,,,,2026-05-12,Čaká na doručenie
605,KE00060588,Mária Lukács,"Arm. gen. Svobodu 135, Košice - Dargovských hrdinov",Dargovských hrdinov,Potraviny,XXL,130x86x75,28.74,Nie,Štandard,Platba vopred,,,Nevystavovať vlhku,2026-05-12,Čaká na doručenie
606,KE00060693,Natália Fehér,"Bačíkova 149/9, Košice - Košická Nová Ves",Košická Nová Ves,Potraviny,XL,92x69x57,4.45,Nie,Štandard,Firemná faktura,,1661.49,Nevystavovať vlhku,2026-05-18,Čaká na doručenie
607,KE00060773,Veronika Szűcs,"Bulharská 25/37, Košice - Dargovských hrdinov",Dargovských hrdinov,Nábytok,M,34x28x22,1.05,Nie,Expres,Dobierka,106.51,,,2026-05-16,Čaká na doručenie
608,KE00060870,Ladislav Vincze,"Jazerná 40, Košice - Nad jazerom",Nad jazerom,Elektronika,XS,11x11x5,0.35,Áno,Štandard,Dobierka,303.88,416.54,,2026-05-17,Čaká na doručenie
609,KE00060928,Michal Lukáč,"Biela 130, Košice - Staré Mesto",Staré Mesto,Elektronika,M,28x24x19,4.92,Áno,Overnight,Firemná faktura,,53.1,Skladovať v chlade,2026-05-17,Čaká na doručenie
610,KE00061028,Róbert Olah,"Šoltésovej 131/35, Košice - Sever",Sever,Nábytok,L,45x36x27,10.35,Nie,Štandard,Platba vopred,,,Skladovať v chlade,2026-05-11,Čaká na doručenie
611,KE00061111,Zuzana Kováč,"Alžbetina 118, Košice - Staré Mesto",Staré Mesto,Nábytok,XL,73x55x46,20.42,Nie,Štandard,Platba vopred,,,,2026-05-11,Čaká na doručenie
612,KE00061227,Juraj Balogh,"Sibírska 129/33, Košice - Západ",Západ,Krehký tovar,XXL,121x80x70,30.52,Áno,Expres,Firemná faktura,,,,2026-05-11,Čaká na doručenie
613,KE00061354,Boris Olah,"Lesná 101, Košice - Kavečany",Kavečany,Krehký tovar,L,59x47x35,9.48,Áno,Štandard,Firemná faktura,,1910.84,,2026-05-16,Čaká na doručenie
614,KE00061459,Matúš Kováčik,"Poľovská 12, Košice - Poľov",Poľov,Liek,S,16x12x8,0.39,Nie,Štandard,Platba vopred,,,Doručiť osobne,2026-05-17,Čaká na doručenie
615,KE00061535,Martin Bogdán,"Lorinčícka 16/8, Košice - Lorinčík",Lorinčík,Balík,XS,9x9x4,0.25,Nie,Ekonomický,Firemná faktura,,,,2026-05-16,Čaká na doručenie
616,KE00061610,Tibor Gáborík,"Galaktická 126, Košice - Juh",Juh,Náhradný diel,S,21x16x10,0.98,Nie,Overnight,Platba vopred,,,Nezalomovať,2026-05-15,Čaká na doručenie
617,KE00061781,Jana Novák,"Javorová 146/5, Košice - Barca",Barca,Náhradný diel,XXL,131x87x76,46.44,Nie,Štandard,Firemná faktura,,,Krehké - opatrne,2026-05-13,Čaká na doručenie
618,KE00061847,Zuzana Szabó,"Hronská 113, Košice - Nad jazerom",Nad jazerom,Oblečenie,XL,66x49x41,24.12,Nie,Štandard,Dobierka,272.57,,Môže zanechať u suseda,2026-05-18,Čaká na doručenie
619,KE00061943,Dávid Tkáč,"Záhradná 92, Košice - Kavečany",Kavečany,Náhradný diel,XS,10x10x5,0.2,Nie,Ekonomický,Platba vopred,,,,2026-05-17,Čaká na doručenie
620,KE00062082,Róbert Fekete,"Hlavná 87, Košice - Staré Mesto",Staré Mesto,Knihy,XS,8x8x4,0.32,Nie,Ekonomický,Platba vopred,,,Nevystavovať vlhku,2026-05-11,Čaká na doručenie
621,KE00062139,Adam Gál,"Pasteurova 19/39, Košice - Sídlisko KVP",Sídlisko KVP,Krehký tovar,XS,11x11x5,0.29,Áno,Štandard,Dobierka,22.62,960.41,,2026-05-15,Čaká na doručenie
622,KE00062227,Róbert Fehér,"Orlia 15, Košice - Staré Mesto",Staré Mesto,Balík,XL,91x68x57,21.41,Áno,Štandard,Platba vopred,,,,2026-05-12,Čaká na doručenie
623,KE00062317,Eva Blaho,"Bukureštská 31/24, Košice - Dargovských hrdinov",Dargovských hrdinov,Elektronika,M,29x24x19,0.76,Áno,Štandard,Dobierka,209.47,1442.46,,2026-05-18,Čaká na doručenie
624,KE00062479,Tibor Varga,"Ťahanovská 33, Košice - Sídlisko Ťahanovce",Sídlisko Ťahanovce,Elektronika,M,28x23x18,3.45,Áno,Ekonomický,Dobierka,201.92,507.9,,2026-05-17,Čaká na doručenie
625,KE00062589,Lucia Török,"Minská 92/15, Košice - Juh",Juh,Oblečenie,M,35x29x23,4.01,Nie,Overnight,Firemná faktura,,827.56,Nezalomovať,2026-05-17,Čaká na doručenie
626,KE00062624,Vladimír Bíró,"Stará 21, Košice - Pereš",Pereš,Dokument,S,18x13x9,1.2,Nie,Štandard,Dobierka,489.07,,,2026-05-11,Čaká na doručenie
627,KE00062794,Barbora Farkas,"Vodná 9, Košice - Staré Mesto",Staré Mesto,Oblečenie,M,33x28x22,0.88,Nie,Overnight,Dobierka,194.38,764.86,Nezalomovať,2026-05-11,Čaká na doručenie
628,KE00062889,Tereza Csonka,"Rybná 14/3, Košice - Lorinčík",Lorinčík,Knihy,M,35x29x23,4.6,Nie,Ekonomický,Platba vopred,,,Krehké - opatrne,2026-05-18,Čaká na doručenie
629,KE00062940,Zuzana Vincze,"Kamenná 15/36, Košice - Lorinčík",Lorinčík,Náhradný diel,XXL,109x73x64,49.64,Nie,Štandard,Firemná faktura,,,Skladovať v chlade,2026-05-16,Čaká na doručenie
630,KE00063051,Lukáš Polák,"Ďumbierska 72/18, Košice - Nad jazerom",Nad jazerom,Balík,XL,73x55x45,18.42,Nie,Expres,Platba vopred,,,Volať vopred,2026-05-17,Čaká na doručenie
631,KE00063143,Lucia Kováč,"Čermeľská 114, Košice - Kavečany",Kavečany,Náhradný diel,L,40x32x24,6.02,Áno,Štandard,Firemná faktura,,,Nevystavovať vlhku,2026-05-13,Čaká na doručenie
632,KE00063239,Igor Novák,"Lesná 127, Košice - Kavečany",Kavečany,Elektronika,S,22x17x11,1.38,Áno,Štandard,Dobierka,343.8,1111.28,,2026-05-11,Čaká na doručenie
633,KE00063397,Eva Fehér,"Fábryho 66, Košice - Sídlisko KVP",Sídlisko KVP,Dokument,XXL,98x65x57,19.39,Nie,Štandard,Platba vopred,,,Krehké - opatrne,2026-05-15,Čaká na doručenie
634,KE00063429,Peter Molnár,"Lorinčícka 110/10, Košice - Lorinčík",Lorinčík,Potraviny,XL,89x66x55,12.04,Nie,Overnight,Firemná faktura,,588.84,Doručiť osobne,2026-05-18,Čaká na doručenie
635,KE00063520,Jakub Rácz,"Mlynská 55/33, Košice - Staré Mesto",Staré Mesto,Knihy,XXL,120x80x70,33.26,Nie,Ekonomický,Platba vopred,,,,2026-05-12,Čaká na doručenie
636,KE00063641,Igor Máté,"Toryská 145/37, Košice - Sídlisko Ťahanovce",Sídlisko Ťahanovce,Náhradný diel,XXL,116x77x67,39.32,Nie,Expres,Firemná faktura,,1154.74,Volať vopred,2026-05-13,Čaká na doručenie
637,KE00063739,Mária Bogdán,"Sácka 93, Košice - Šaca",Šaca,Potraviny,XS,10x10x5,0.28,Nie,Štandard,Firemná faktura,,1574.75,,2026-05-11,Čaká na doručenie
638,KE00063835,Ondrej Szőke,"Magnetová 63/27, Košice - Nad jazerom",Nad jazerom,Oblečenie,XXL,102x68x59,20.41,Nie,Štandard,Platba vopred,,,,2026-05-11,Čaká na doručenie
639,KE00063977,Andrea Oravec,"Bajkalská 4, Košice - Západ",Západ,Dokument,XL,86x65x54,15.69,Áno,Štandard,Platba vopred,,,Doručiť osobne,2026-05-17,Čaká na doručenie
640,KE00064067,Filip Máté,"Remeselnícka 91, Košice - Poľov",Poľov,Knihy,S,21x16x10,0.41,Nie,Štandard,Platba vopred,,,,2026-05-17,Čaká na doručenie
641,KE00064158,Veronika Szűcs,"Kamenná 112, Košice - Lorinčík",Lorinčík,Nábytok,S,21x16x10,1.5,Nie,Ekonomický,Dobierka,448.32,,,2026-05-13,Čaká na doručenie
642,KE00064228,Radoslav Rácz,"Továrenská 46/38, Košice - Šaca",Šaca,Balík,XS,8x8x4,0.3,Nie,Štandard,Firemná faktura,,1517.03,Krehké - opatrne,2026-05-14,Čaká na doručenie
643,KE00064339,Natália Molnár,"Gemerská 111/37, Košice - Sídlisko KVP",Sídlisko KVP,Oblečenie,XS,9x9x4,0.17,Nie,Štandard,Firemná faktura,,,,2026-05-14,Čaká na doručenie
644,KE00064464,Lenka Csonka,"Čermeľská 25, Košice - Kavečany",Kavečany,Náhradný diel,S,16x12x8,1.82,Nie,Štandard,Platba vopred,,1896.28,Môže zanechať u suseda,2026-05-13,Čaká na doručenie
645,KE00064538,Rastislav Török,"Slnečná 33/19, Košice - Myslava",Myslava,Potraviny,XXL,140x93x81,14.8,Áno,Štandard,Dobierka,142.83,,Krehké - opatrne,2026-05-17,Čaká na doručenie
646,KE00064694,Anna Fábián,"Meteorová 41/18, Košice - Sídlisko Ťahanovce",Sídlisko Ťahanovce,Knihy,XXL,120x80x70,41.08,Áno,Overnight,Dobierka,354.03,,Môže zanechať u suseda,2026-05-13,Čaká na doručenie
647,KE00064737,Zuzana Gáborík,"Partizánska 63, Košice - Sídlisko KVP",Sídlisko KVP,Liek,XXL,105x70x61,28.8,Nie,Overnight,Dobierka,103.29,,,2026-05-17,Čaká na doručenie
648,KE00064847,Natália Takáč,"Štefánikova 18, Košice - Staré Mesto",Staré Mesto,Oblečenie,XXL,104x69x60,26.73,Nie,Expres,Dobierka,177.61,,Volať vopred,2026-05-16,Čaká na doručenie
649,KE00064994,Veronika Tkáč,"Okružná 101/35, Košice - Pereš",Pereš,Oblečenie,XS,8x8x4,0.49,Nie,Štandard,Dobierka,215.31,,Horná strana nahor,2026-05-16,Čaká na doručenie
650,KE00065043,Veronika Sipos,"Bulharská 102/50, Košice - Dargovských hrdinov",Dargovských hrdinov,Oblečenie,XL,77x57x48,9.34,Nie,Štandard,Firemná faktura,,,,2026-05-18,Čaká na doručenie
651,KE00065188,Monika Oravec,"Továrenská 101/28, Košice - Šaca",Šaca,Knihy,XS,9x9x4,0.39,Áno,Expres,Platba vopred,,1254.32,,2026-05-16,Čaká na doručenie
652,KE00065278,Matúš Horváth,"Sácka 139, Košice - Šaca",Šaca,Knihy,L,41x33x25,10.87,Nie,Expres,Platba vopred,,322.42,,2026-05-13,Čaká na doručenie
653,KE00065330,Jana Pintér,"Hájna 75/24, Košice - Poľov",Poľov,Balík,S,20x15x10,0.65,Áno,Štandard,Platba vopred,,,,2026-05-12,Čaká na doručenie
